5,5,3.40191,9.88E-43,5.75E-09,0.0803,0.087,0.76,-0.000479,6058.9735
5,5,3.432203,4.50E-38,1.62E-08,0.0803,0.087,0.76,-0.000479,4063.3307
5,5,3.462499,1.64E-33,3.24E-08,0.0803,0.087,0.76,-0.000479,2043.6918
5,6,3.484504,1.31E-43,5.84E-09,0.0803,0.087,0.76,-0.000479,6131.4792
5,5,3.492796,5.64E-29,5.46E-08,0.0803,0.087,0.76,-0.000479,0
5,6,3.515925,6.92E-39,1.70E-08,0.0803,0.087,0.76,-0.000479,4112.2588
5,2,3.545069,1.03E-45,4.61E-10,0.0803,0.087,0.76,-0.000479,8232.627
5,6,3.547348,2.87E-34,3.44E-08,0.0803,0.087,0.76,-0.000479,2068.4521
5,3,3.564356,4.53E-41,5.90E-09,0.0803,0.087,0.76,-0.000479,6200.7705
5,2,3.577778,2.40E-40,5.91E-09,0.0803,0.087,0.76,-0.000479,6212.3182
5,6,3.578774,1.13E-29,5.86E-08,0.0803,0.087,0.76,-0.000479,0
5,3,3.596881,2.76E-36,1.78E-08,0.0803,0.087,0.76,-0.000479,4159.0247
5,2,3.61049,1.50E-35,1.79E-08,0.0803,0.087,0.76,-0.000479,4166.8191
5,3,3.629409,1.30E-31,3.65E-08,0.0803,0.087,0.76,-0.000479,2092.1216
5,2,3.643205,7.20E-31,3.69E-08,0.0803,0.087,0.76,-0.000479,2096.0669
5,4,3.646855,6.03E-42,5.96E-09,0.0803,0.087,0.76,-0.000479,6271.5159
5,3,3.661939,5.75E-27,6.26E-08,0.0803,0.087,0.76,-0.000479,0
5,2,3.675921,3.26E-26,6.33E-08,0.0803,0.087,0.76,-0.000479,0
5,4,3.680535,4.25E-37,1.86E-08,0.0803,0.087,0.76,-0.000479,4206.7792
5,1,3.705026,2.35E-44,2.87E-10,0.0803,0.087,0.76,-0.000479,8414.4693
5,4,3.714217,2.27E-32,3.87E-08,0.0803,0.087,0.76,-0.000479,2116.295
5,1,3.740024,1.11E-38,6.00E-09,0.0803,0.087,0.76,-0.000479,6350.439
5,4,3.747902,1.14E-27,6.70E-08,0.0803,0.087,0.76,-0.000479,0
5,1,3.775024,9.23E-34,1.95E-08,0.0803,0.087,0.76,-0.000479,4260.0622
5,1,3.810028,5.71E-29,4.13E-08,0.0803,0.087,0.76,-0.000479,2143.2711
5,1,3.845033,3.30E-24,7.21E-08,0.0803,0.087,0.76,-0.000479,0
5,5,6.803699,7.70E-42,5.51E-08,0.0757,0.081,0.75,-0.000245,6062.3754
5,5,6.864285,3.51E-37,1.55E-07,0.0757,0.081,0.75,-0.000245,4066.7629
5,5,6.924876,1.28E-32,3.10E-07,0.0757,0.081,0.75,-0.000245,2047.1543
5,6,6.96888,1.02E-42,5.59E-08,0.0757,0.081,0.75,-0.000245,6134.9637
5,5,6.985471,4.40E-28,5.24E-07,0.0757,0.081,0.75,-0.000245,3.4928
5,6,7.031722,5.39E-38,1.63E-07,0.0757,0.081,0.75,-0.000245,4115.7747
5,3,7.063535,1.58E-45,4.54E-09,0.0757,0.081,0.75,-0.000245,8220.9534
5,2,7.090003,7.96E-45,4.39E-09,0.0757,0.081,0.75,-0.000245,8236.1721
5,6,7.094569,2.23E-33,3.30E-07,0.0757,0.081,0.75,-0.000245,2071.9994
5,3,7.128579,3.53E-40,5.66E-08,0.0757,0.081,0.75,-0.000245,6204.3348
5,2,7.155422,1.87E-39,5.66E-08,0.0757,0.081,0.75,-0.000245,6215.8959
5,6,7.157421,8.77E-29,5.62E-07,0.0757,0.081,0.75,-0.000245,3.5788
5,3,7.19363,2.15E-35,1.70E-07,0.0757,0.081,0.75,-0.000245,4162.6216
5,2,7.220846,1.17E-34,1.72E-07,0.0757,0.081,0.75,-0.000245,4170.4296
